1353,9,class_0,class_1,class_min1,,,,,
1,-1,1,-1,-1,1,1,1,0,0
-1,-1,-1,-1,-1,0,1,1,1,1
1,-1,0,0,-1,0,-1,1,0,1
1,0,1,-1,-1,0,1,1,0,0
-1,-1,1,-1,0,0,-1,1,0,1
-1,-1,1,-1,-1,1,0,-1,0,1
1,-1,0,1,-1,0,0,1,0,2
1,0,1,1,0,0,0,1,1,2
-1,-1,0,-1,-1,-1,-1,1,0,0
-1,0,-1,-1,1,1,0,-1,0,1
-1,-1,0,-1,-1,1,-1,-1,0,1
1,0,1,1,1,-1,1,1,0,2
1,-1,0,-1,1,0,1,1,0,1
1,0,1,0,-1,1,0,-1,0,2
-1,-1,-1,1,-1,0,-1,1,0,1
0,0,-1,0,0,1,1,-1,1,1
-1,0,0,0,-1,1,-1,-1,0,1
1,1,1,-1,1,-1,1,1,0,2
0,-1,-1,0,1,1,0,-1,0,1
1,-1,0,1,0,0,-1,1,0,1
0,-1,1,-1,-1,1,-1,1,0,1
1,0,-1,-1,1,1,-1,-1,0,2
1,-1,0,-1,1,-1,0,1,0,2
1,0,1,0,-1,0,0,1,0,2
1,0,-1,0,-1,1,-1,-1,0,2
-1,-1,0,-1,1,-1,0,1,0,2
0,0,1,1,1,0,0,1,0,2
1,0,-1,1,1,0,0,-1,0,2
1,0,1,0,-1,-1,0,1,0,2
-1,-1,0,0,1,1,-1,-1,0,1
1,1,0,-1,1,1,0,-1,0,2
1,1,1,-1,-1,0,0,1,0,2
1,0,1,-1,-1,-1,0,1,0,2
1,0,-1,-1,-1,-1,1,1,0,2
1,-1,1,-1,1,-1,-1,1,0,2
1,1,-1,1,1,-1,1,1,0,2
1,0,1,-1,1,-1,1,1,0,2
0,0,1,0,0,1,-1,-1,0,1
-1,-1,-1,-1,-1,-1,0,1,0,1
1,0,0,-1,-1,0,0,-1,0,1
-1,0,0,-1,-1,1,0,-1,0,1
1,1,1,-1,1,-1,-1,1,0,2
-1,0,1,0,-1,0,0,-1,0,2
1,1,1,1,0,-1,0,1,0,2
1,0,1,1,1,0,-1,1,1,2
-1,-1,1,-1,-1,1,-1,-1,0,1
0,-1,-1,0,1,1,0,-1,0,1
-1,-1,1,0,-1,0,1,1,0,1
-1,-1,1,-1,-1,-1,1,1,0,0
1,1,-1,-1,1,-1,1,1,0,0
1,0,1,0,-1,-1,-1,1,0,2
-1,-1,-1,-1,-1,1,1,-1,1,0
1,1,1,-1,1,-1,0,1,1,2
-1,-1,1,-1,-1,0,-1,-1,0,1
1,-1,0,-1,-1,0,-1,1,0,1
1,0,1,1,1,-1,1,1,0,2
1,-1,0,1,0,0,-1,1,0,1
1,-1,0,1,1,0,0,1,0,2
1,1,1,-1,1,-1,1,1,1,2
-1,-1,1,1,-1,1,0,-1,0,1
-1,-1,0,0,-1,1,0,-1,0,1
0,0,0,0,1,0,0,-1,0,1
1,1,1,1,1,1,0,1,1,2
1,0,1,1,1,-1,1,1,0,2
-1,-1,0,-1,-1,0,0,1,0,1
0,0,0,0,1,0,1,-1,1,1
-1,-1,0,1,-1,1,-1,1,0,1
-1,-1,1,-1,1,0,-1,-1,0,0
-1,-1,0,1,1,0,-1,-1,0,1
1,1,0,0,-1,0,0,1,0,2
1,-1,1,-1,-1,0,-1,-1,0,1
1,1,1,1,1,-1,1,1,0,2
1,0,1,0,-1,1,0,-1,0,2
-1,0,1,-1,-1,-1,-1,1,0,1
-1,-1,1,0,1,1,0,-1,0,1
1,1,0,-1,1,0,-1,-1,0,2
-1,0,-1,-1,-1,1,-1,-1,0,1
1,-1,1,1,1,0,0,1,0,2
1,0,1,1,0,0,-1,1,1,2
-1,0,-1,-1,-1,0,-1,1,0,1
1,1,1,-1,1,-1,0,1,0,2
0,-1,-1,0,1,0,1,-1,0,1
-1,-1,1,1,-1,1,-1,-1,0,1
1,1,1,0,-1,1,1,-1,0,2
1,1,1,1,1,0,-1,1,0,2
-1,-1,-1,-1,-1,0,0,1,0,1
-1,-1,1,1,-1,1,-1,-1,0,2
-1,-1,1,-1,1,0,-1,-1,0,0
1,0,1,-1,-1,-1,0,1,1,2
-1,0,-1,0,-1,1,0,-1,0,1
1,0,1,0,-1,-1,1,1,0,2
1,1,1,-1,-1,-1,0,1,0,2
1,0,1,1,1,-1,1,1,0,2
1,0,1,1,1,-1,0,1,0,2
0,-1,-1,0,0,0,1,-1,1,1
-1,-1,0,1,1,-1,-1,1,0,1
1,0,1,-1,1,0,1,1,0,2
1,1,1,1,1,0,1,1,0,2
-1,-1,1,-1,-1,0,1,-1,0,0
0,0,1,0,1,-1,0,1,1,1
-1,-1,0,1,1,-1,1,1,0,1
1,1,1,1,1,1,0,-1,1,2
1,0,-1,1,1,0,0,-1,0,2
-1,0,-1,-1,-1,0,0,1,0,1
1,0,-1,1,1,-1,1,1,0,2
-1,-1,-1,-1,-1,1,0,-1,0,1
1,-1,1,-1,-1,0,1,1,0,0
1,-1,0,1,0,-1,1,1,0,1
-1,0,-1,-1,-1,-1,-1,1,0,1
-1,-1,0,-1,-1,0,1,-1,1,1
-1,-1,1,-1,-1,1,1,1,0,0
1,0,1,1,0,0,1,1,0,2
-1,-1,0,-1,-1,0,-1,1,0,1
-1,0,-1,-1,1,1,-1,-1,0,1
1,0,1,0,-1,1,-1,-1,0,2
-1,0,-1,-1,-1,1,0,-1,0,1
